"","KIR3DP1","KIR2DS5","KIR2DL3","KIR2DP1","KIR2DS3","KIR2DS2","KIR2DL4","KIR3DL3","KIR3DL1","KIR3DS1","KIR2DL2","KIR3DL2","KIR2DS4","KIR2DL1","KIR2DS1","KIR2DL5"
"1138_S610_L002_R",0.253953464947623,0.48861804995971,0.641166398066076,0.628147663174859,0.466685132957293,0.563154713940371,0.442284448025786,1,0.00412973408541499,0.663678485092667,0.435107775987107,1.21759165995165,0.00347502014504432,0.492571514907333,0.45223106365834,0.717667203867849
"1140_S612_L002_R",0.454884526993934,0.000339072448479825,1.24612892287986,1.21497193233621,0.000753494329955167,0.00120559092792827,0.865199864371021,1,1.20950909844403,0.0333044493840184,0.000602795463964134,1.24571450099838,1.01103869193384,1.02151226312022,0.00655540067060995,0.0104358964698791
"1141_S613_L002_R",0.472634076082352,0.0002965347792934,1.24197237990341,1.23002626450902,0.000465983224603914,0.0017792086757604,0.94141320003389,1,1.27560789629755,0.0276200965856138,0.000508345335931543,1.32538337710751,1.21371685164789,1.0160976023045,0.000720155892569686,0.0100821824959756
"1142_S614_L002_R",0.4885740107159,0.499548124717578,0.663223807372022,0.638693434897682,0.000580982505971209,0.569717900716545,0.909495836292041,1,0.642760312439481,0.663998450713317,0.450648763798335,1.28552062487896,0.605674262474985,0.536569621070299,0.244529081402104,0.418662449164031
"1143_S615_L002_R",0.468581221437474,0.00311591192355629,0.612744079767345,1.18321562110511,1.06008516825924,0.545751973410885,0.87022226838388,1,0.628687162442875,0.6425529705027,0.452430411300374,1.29097424179477,0.5646032405484,0.8764021603656,0.233589530535937,0.741275446614042
"1144_S616_L002_R",0.495959595959596,0.00160697887970615,1.25073461891644,1.24132231404959,0.000183654729109275,0.000734618916437098,0.910192837465565,1,1.26717171717172,0.0274104683195592,0.00068870523415978,1.26386593204775,1.09141414141414,1.01657483930211,0.00661157024793388,0.00973370064279155
"1145_S617_L002_R",0.484350300347771,0.00927389609020972,1.24760248709032,1.22520813573612,0.000210770365686584,0.00147539255980609,0.873643165770893,1,1.24359785014227,0.0407313731689324,0.00200231847402255,1.31030667088207,1.1312045526399,0.996680366740436,0.00368848139951523,0.022341658762778
"1147_S618_L002_R",0.246907597745416,0.498176439082864,0.634216633936086,0.646713764696881,0.00068861740926828,0.573771328011426,0.443826672447652,1,0.636486520951822,0.0191282613685633,0.488255247519702,1.30276212094162,0.612486929021398,0.520288709224923,0.241908745441098,0.386161340508557
"1148_S619_L002_R",0.48394647127665,0.00117030478807307,1.28443494631863,1.24596753676284,0.000356179718109195,0.00213707830865517,0.840635017554572,1,1.24031954408996,0.0281890805474991,0.001577367323055,1.30010685391543,1.16140029512034,1.11072100951509,0.00117030478807307,0.0113977509794942
"1149_S620_L002_R",0.512612797374898,0.459905660377358,1.23959187858901,1.20390689089418,0.000461443806398687,0.00225594749794914,0.890996718621821,1,0.62320549630845,0.677963494667761,0.00169196062346185,1.27414889253486,0.517996308449549,1.05188679245283,0.250102543068089,0.402020098441345
